Guide	Gene	Emx1-ND-ctrl-1	Emx1-ND-ctrl-2	Emx1-ND-ctrl-3	Emx1-ND-ctrl-4	Emx1-ND-2M-1-F	Emx1-ND-2M-2-F	Emx1-2M-3-M	Emx1-ND-2M-4-M	Emx1-ND-4M-1-M	Emx1-ND-4M-2-M	Emx1-ND-4M-3-M
Wfs1_-_36989155.23-P1P2	Wfs1	427	466	628	640	604	583	4426	555	550	982	533
Uchl4_+_64235186.23-ENSMUST00000039011.3	Uchl4	405	456	386	445	529	564	4160	439	373	806	562
Mapk1_-_16983451.23-P1P2	Mapk1	911	926	1086	856	1084	1024	8460	1003	1312	1441	1030
Fis1_+_136962109.23-P1	Fis1_P1	607	522	536	498	682	626	5164	765	778	1092	862
Hpx_-_105600011.23-P1P2	Hpx	1170	1274	1347	1114	1284	1472	11101	1493	1803	2408	1723
Clcn7_+_25133464.23-P1P2	Clcn7	591	640	691	682	609	695	5039	601	714	633	387
Coasy_-_101082685.23-P1P2	Coasy	1247	1111	1303	1148	1295	1296	9931	1349	1241	1765	1079
Nqo2_-_33964759.23-P1P2	Nqo2	640	518	553	662	704	687	4891	724	1031	912	902
Tubb5_-_35838222.23-P1P2	Tubb5	789	647	776	713	703	831	6170	794	857	1311	999
Cox6b2_-_4753046.23-P1P2	Cox6b2	461	514	475	595	494	450	4144	639	625	935	543
Mrc1_+_14229446.23-P1P2	Mrc1	374	383	520	508	519	533	4259	505	624	745	549
Pum1_-_130663434.23-P1P2	Pum1	686	686	873	762	810	925	6507	812	1166	1266	829
Mif_+_75860286.23-P1P2	Mif	762	761	863	852	856	1107	7388	970	1124	1529	932
Cybb_-_9469271.23-P1P2	Cybb	600	542	682	584	660	672	5456	640	776	914	733
Cd8a_+_71373502.23-P1P2	Cd8a	484	506	697	587	528	635	4877	529	665	829	765
Nfkb1_-_135691424.23-P1P2	Nfkb1	572	662	734	553	711	789	5448	755	787	1105	859
Tfcp2_+_100551946.23-P1P2	Tfcp2	1169	1113	1209	969	1176	1216	10471	1304	1763	1968	1297
Fzd8_+_9213023.23-ENSMUST00000041080.5	Fzd8	475	499	604	440	645	560	5331	593	612	897	696
Maneal_-_124862206.23-P1P2	Maneal	822	725	805	654	835	871	6804	878	1133	1426	1007
Atp5j_+_84834829.23-P1P2	Atp5j	691	636	746	708	840	823	6258	933	935	1508	1004
Mtor_-_148448637.23-P1P2	Mtor	728	664	760	729	693	821	6970	839	883	1331	1038
P4hb_-_120572798.23-P1P2	P4hb	713	760	857	677	978	892	7497	1061	1227	1397	1021
Wnt2b_-_104961704.23-P1P2	Wnt2b	742	792	954	846	1026	1092	8460	1098	1171	1598	1362
Mapk10_+_103211231.23-P1P2	Mapk10	871	1111	1128	1040	1165	1204	9098	1041	1339	2110	1825
Dnah2_-_69549111.23-ENSMUST00000108659.1	Dnah2	422	484	466	335	537	497	4328	505	621	752	566
Sst_-_23890781.23-P1P2	Sst	852	874	912	913	1055	1221	8264	860	1326	1504	1148
Uqcr10_+_4704103.23-P1P2	Uqcr10	611	565	638	659	629	894	6266	637	1038	1265	843
Cdca5_-_6085128.23-P1P2	Cdca5	617	569	814	529	718	878	6407	821	967	1256	1033
Actb_-_142906726.23-P1	Actb_P1	1000	1176	1160	1148	1174	1300	10071	1052	1781	2186	1547
