sgRNA,counts
Cxx1b_-_53670371.23-P2,1663
Cxx1b_-_53643694.23-P1,1663
Cxx1a_-_53643694.23-P1,1663
Cxx1a_-_53670371.23-P2,1663
Cxx1b_-_53643747.23-P1,1540
Cxx1a_-_53643747.23-P1,1540
Dctn5_-_122133105.23-P1P2,1531
Plk1_-_122133105.23-P2,1531
Ncor1_-_62458457.23-P2,1527
Pigl_-_62458457.23-P1P2,1527
Acss2_-_155518081.23-P1P2,1524
Ggt7_-_155518081.23-P2,1524
Gm9897_-_4192399.23-P1P2,1498
"Mterf_+_3893892.23-ENSMUST00000044746.4,ENSMUST00000117463.1",1498
Nudt10_-_6172926.23-ENSMUST00000103006.3,1497
Nudt11_+_6047812.23-P1P2,1497
Mrps6_+_92058397.23-P1P2,1490
Slc5a3_+_92058397.23-P1P2,1490
2310045N01Rik_-_70139533.23-P1P2,1481
Mef2b_-_70139533.23-P1P2,1481
Bfar_-_13672088.23-P1P2,1480
3110001I22Rik_-_13672088.23-P1P2,1480
Bfar_+_13672061.23-P1P2,1467
3110001I22Rik_+_13672061.23-P1P2,1467
Zfp82_+_30090479.23-P1P2,1457
Zfp566_+_30090479.23-P1P2,1457
Zfp882_-_71908668.23-P1P2,1454
Zfp617_-_71908668.23-P1,1454
4930506M07Rik_+_59075593.23-P1P2,1441
Jmjd7_-_120027594.23-P1,1436
Pla2g4b_-_120027594.23-P1,1436
Atf5_-_44816385.23-P1P2,1433
Il4i1_-_44816385.23-P1P2,1433
Nup62_-_44816385.23-P1P2,1433
Fastkd5_+_130629937.23-P1P2,1420
Ubox5_+_130629937.23-P1P2,1420
Mef2b_+_70139703.23-P1P2,1413
2310045N01Rik_+_70139703.23-P1P2,1413
Zfp87_+_67525917.23-P1P2,1409
Zfp58_+_67525917.23-P1,1409
Dhx57_+_80290129.23-P1P2,1397
Morn2_+_80290129.23-P1P2,1397
Tmsb15b2_+_136976606.23-P1P2,1376
Tmsb15b1_+_136976606.23-P1P2,1376
Mrps6_+_92058328.23-P1P2,1369
Rbm12_+_156111868.23-P1P2,1369
Slc5a3_+_92058328.23-P1P2,1369
Cpne1_+_156111868.23-P1P2,1369
Cxx1b_-_53670478.23-P2,1368
Cxx1a_-_53670478.23-P2,1368
Zfp58_-_67526106.23-P1,1349
Zfp87_-_67526106.23-P1P2,1349
Glod4_+_76243510.23-P1P2,1335
Gemin4_+_76243510.23-P2,1335
Acss2_-_155518087.23-P1P2,1330
Ggt7_-_155518087.23-P2,1330
4930506M07Rik_-_59075624.23-P1P2,1329
Pak4_+_28598153.23-P1P2,1328
Samd4b_+_28598153.23-P1P2,1328
Zbtb9_+_26973231.23-P1P2,1319
Ggnbp1_+_26973231.23-P1,1319
Lcmt2_+_121140656.23-P1P2,1318
Adal_+_121140656.23-P1P2,1318
Zfp617_+_71908624.23-P1,1315
Zfp882_+_71908624.23-P1P2,1315
Dpm1_+_168230349.23-P1P2,1311
Adnp_+_168230349.23-P1,1311
Med19_-_84678447.23-P1P2,1307
Cxx1b_-_53670467.23-P2,1307
Cxx1a_-_53670467.23-P2,1307
Tmx2_-_84678447.23-P1P2,1307
Bcl2a1b_+_89199311.23-P1P2,1298
Mthfs_+_89199311.23-P2,1298
Mthfs_-_89199779.23-P2,1289
Bcl2a1b_-_89199779.23-P1P2,1289
Ncor1_-_62458472.23-P2,1284
