sgRNA,counts
Ager_-_34597923.23-P1P2,12931
Vdac2_+_21831569.23-P1P2,12626
Ndufb10_+_24724372.23-P1P2,12624
Snurf_+_60005150.23-P1P2,12253
Snrpn_+_60005150.23-P1P2,12253
Hip1_+_135544873.23-P1P2,12057
Scyl1_-_5771367.23-P1P2,12000
Serpina3f_+_104214587.23-P1P2,11819
Serpina3g_+_104214587.23-P1P2,11819
Ndufb10_-_24724401.23-P1P2,11818
Scyl1_+_5771338.23-P1P2,11592
Fzd6_+_39006350.23-P1P2,11435
Ndufa10_-_92473771.23-P1P2,11389
Wars2_-_99141149.23-P1P2,11296
Serpina3b_+_104128038.23-P1P2,11091
Abcb6_-_75180366.23-P1P2,11045
Chmp1a_-_123212754.23-P1P2,10989
Araf_-_20848619.23-P1P2,10912
Dst_-_34011618.23-P1P2,10901
Aifm1_-_48513332.23-P1P2,10899
Hexb_+_97198268.23-P1P2,10805
Il1b_+_129371106.23-P1P2,10770
Pde4d_-_109953891.23-P1P2,10760
Serpina3f_+_104214580.23-P1P2,10740
Serpina3g_+_104214580.23-P1P2,10740
Sod2_-_13008027.23-P1P2,10681
Vps13a_-_16780917.23-P1P2,10558
Sqstm1_-_50210734.23-P1,10361
Tfpi2_-_3968363.23-P1P2,10346
Tank_-_61593196.23-P1,10335
Tfam_+_71238009.23-P1P2,10285
Inf2_+_112604186.23-P2,10142
Ube2l6_+_84798900.23-P1P2,10128
H2-M10.1_-_36326117.23-ENSMUST00000025322.7,10120
Pak1_-_97843009.23-P1P2,10091
Kif1a_-_93101801.23-P1P2,10073
Vps13a_+_16780886.23-P1P2,10038
Wars2_+_99141123.23-P1P2,10011
Slc26a3_+_31438304.23-P1P2,10008
Hexb_-_97198294.23-P1P2,9986
Chchd2_-_129887426.23-P1P2,9965
Wipi1_-_109611289.23-P1P2,9903
Camk2g_+_20793997.23-P1P2,9860
Chmp1a_+_123212728.23-P1P2,9843
Serpina1d_+_103773540.23-P1P2,9824
Eif2ak2_+_78882497.23-P1P2,9783
Tspo_-_83563665.23-P1P2,9730
Hpx_-_105600011.23-P1P2,9595
Mthfr_+_148039200.23-P1,9593
Casp8_+_58795442.23-P1P2,9566
Ppp3ca_+_136670155.23-P1P2,9557
Gad2_-_22622611.23-P1P2,9508
Serpina3f_-_104214668.23-P1P2,9496
Serpina3g_-_104214668.23-P1P2,9496
Il1b_-_129371132.23-P1P2,9459
Msra_-_64440847.23-P1P2,9453
Pik3cg_+_32208594.23-P1P2,9367
Dao_+_114003916.23-P1P2,9337
Slc6a4_-_77009364.23-P1,9333
Lrriq3_-_155093535.23-P1P2,9329
Mog_-_37023307.23-P1P2,9316
Ndufb8_+_44555412.23-P1P2,9308
Ube2l6_-_84798926.23-P1P2,9307
Ang2_+_51195879.23-ENSMUST00000051274.1,9294
Cfl1_+_5490471.23-P1P2,9221
Ogg1_+_113327044.23-P1P2,9198
Kcnc1_+_46396487.23-P1P2,9181
Hsf1_-_76477460.23-P1P2,9171
Kcnc1_-_46396751.23-P1P2,9150
Endou_+_97731332.23-P2,9142
Sqstm1_+_50210551.23-P1,9120
Dnah10_+_124725123.23-P1P2,9109
Asah1_-_41374561.23-P1P2,9109
Kif5b_+_6241434.23-P1P2,9079
Clu_+_65968685.23-P1,9079
Dst_+_34011590.23-P1P2,9053
Sct_-_141279082.23-P1P2,9025
Lgi1_+_38264806.23-P1P2,9023
Ywhaz_+_36793248.23-P1P2,8996
Tardbp_-_148626472.23-P1P2,8993
Grid2_+_63256056.23-P1P2,8987
Sptlc2_-_87388200.23-P1P2,8980
non-targeting_03057,8955
Serpina1c_-_103904952.23-P1P2,8932
Serpina3g_-_104214535.23-P1P2,8929
Serpina3f_-_104214535.23-P1P2,8929
Gaa_-_119268100.23-P1P2,8894
Cfl1_-_5490743.23-P1P2,8891
Coq2_+_100674224.23-P1P2,8876
Sod2_-_13008017.23-P1P2,8841
Ndufa10_+_92473744.23-P1P2,8796
Apcs_+_172894894.23-P1P2,8792
Uqcrb_-_66905149.23-P1P2,8763
Ins1_-_52264557.23-P1P2,8752
Fgf14_-_124192838.23-ENSMUST00000026631.5,8716
Trip4_-_65884997.23-P1,8710
Gaa_-_119268142.23-P1P2,8709
Gm2a_+_55098142.23-P1P2,8707
Map1b_+_99516471.23-P1P2,8695
Ndufb6_+_40279349.23-P1P2,8686
Lrriq3_+_155093588.23-P1P2,8677
Sgsh_-_119355500.23-P1P2,8665
Litaf_-_10993034.23-P1P2,8648
Serpina3m_-_104387372.23-P1P2,8645
Ndufa6_+_82354221.23-P1P2,8639
Cfl2_-_54862765.23-P1P2,8625
Jph3_+_121730148.23-P1P2,8618
Oard1_+_48410121.23-P1P2,8603
Abcb6_+_75180338.23-P1P2,8593
Stc1_-_69029452.23-P1P2,8577
Pdha1_-_160138333.23-P1P2,8575
Mpg_-_32226727.23-P1P2,8566
Gaa_-_119268240.23-P1P2,8558
Ccs_-_4839276.23-P1P2,8552
Scarb2_+_92505462.23-P1P2,8543
Erlin1_+_44069684.23-P1P2,8528
non-targeting_03693,8526
Vdac2_-_21831585.23-P1P2,8524
Fus_+_127967484.23-P1P2,8510
Tbp_-_15499957.23-P1P2,8479
Egf_+_129755283.23-P1P2,8475
Ulk1_-_110809980.23-P1P2,8471
Gpx7_+_108406673.23-P1P2,8466
Sgsh_-_119355485.23-P1P2,8464
Brca2_-_150522683.23-P1P2,8457
Cxcl13_-_95956975.23-P1P2,8441
Rreb1_-_37826085.23-P1P2,8440
non-targeting_03422,8436
Plp1_-_136822917.23-P1P2,8428
Braf_+_39725275.23-P1P2,8424
Ogg1_-_113327052.23-P1P2,8424
Ren1_-_133350837.23-P1P2,8419
Creb1_+_64532868.23-P1P2,8399
Eif2ak2_-_78882524.23-P1P2,8397
Chrm1_-_8664169.23-P1P2,8390
Pnp_-_50944540.23-P1P2,8383
Hsf1_+_76477430.23-P1P2,8376
Ppp3cb_+_20546521.23-P1P2,8375
Sgsh_-_119355475.23-P1P2,8373
Anp32a_+_62341769.23-P1P2,8363
Slc17a5_+_78588005.23-P1P2,8363
Ang_+_51091146.23-P2,8359
Tubb4a_+_57087558.23-P1P2,8358
Dpp6_-_27049411.23-P2,8353
Mme_-_63296222.23-P2,8334
Il33_+_29925179.23-P1P2,8327
Oard1_+_48410302.23-P1P2,8322
Gosr2_+_103697685.23-P1P2,8321
Mnat1_-_73123802.23-P1P2,8318
Dkk4_-_22624090.23-P1P2,8310
Atg2b_+_105685213.23-P1P2,8301
Spg11_+_122118364.23-P1P2,8297
Tuba8_-_121210827.23-P1P2,8290
Gpx1_+_108339087.23-P1P2,8284
Hfe_-_23710759.23-P1P2,8275
Psma4_+_54951054.23-P1P2,8271
Ndufa12_-_94199072.23-P1P2,8264
Araf_-_20848564.23-P1P2,8256
Kitl_-_100015866.23-P1P2,8254
non-targeting_01766,8248
Cbs_-_31637091.23-P1P2,8236
Wnt3a_+_59290711.23-P1P2,8236
Pink1_+_138326212.23-P1P2,8231
Elavl3_+_22051950.23-P1P2,8224
Mbp_+_82554569.23-P1P2,8222
Jund_-_70698968.23-P1P2,8203
Apoa1_+_46228782.23-P1P2,8202
Cetn1_-_9619435.23-P1P2,8193
Ccdc88a_-_29373739.23-P1P2,8189
Fzd5_-_64737688.23-P1P2,8179
Casp7_+_56397264.23-P1P2,8178
Atp2b3_+_73503173.23-P1P2,8176
Psma2_+_14613362.23-P1P2,8165
Eif2s1_-_78862044.23-P1P2,8164
Cyp27a1_-_74713633.23-P1P2,8163
Fggy_-_95579497.23-P2,8161
Cacna1c_-_118757964.23-ENSMUST00000112825.2,8160
Ndufa12_-_94199240.23-P1P2,8156
H2-M10.6_+_36812191.23-ENSMUST00000041398.4,8154
Nos2_+_78920860.23-P1P2,8154
Mad2l1bp_+_46153478.23-P1P2,8153
Wnt2b_-_104961629.23-P1P2,8144
Padi2_-_140906421.23-P1,8139
Wdr41_-_94976381.23-P1P2,8139
Litaf_-_10993022.23-P1P2,8127
Gm2a_+_55098121.23-P1P2,8118
Tyrobp_+_30413818.23-P1P2,8114
Serpinf1_+_75422494.23-P1P2,8104
P2ry2_+_101011964.23-P1P2,8103
Ppp3cb_+_20546524.23-P1P2,8101
Tardbp_+_148626750.23-P1P2,8091
Socs3_-_117969116.23-P1P2,8087
Sigmar1_-_41741302.23-P1P2,8077
Prdx3_+_60874503.23-P1P2,8076
Epm2a_+_11343478.23-P1P2,8066
Bcl10_+_145924366.23-P1P2,8063
Kcne3_+_100176903.23-P2,8062
Ubtf_-_102318968.23-P1P2,8060
Trip4_+_65885061.23-P1,8053
Fggy_+_95579504.23-P2,8048
Pitrm1_-_6548243.23-P1P2,8047
Ngfr_+_95587519.23-P1P2,8042
Apod_+_31314587.23-P1P2,8038
Eno2_-_124769462.23-P1P2,8037
Pin1rt1_-_104716322.23-ENSMUST00000099659.2,8037
Txn1_+_57956016.23-P1P2,8029
Chrm1_+_8664314.23-P1P2,8022
Cxcl13_+_95956958.23-P1P2,8014
Pars2_-_106651161.23-P1P2,8009
Gstm3_-_107969155.23-P1P2,8001
Npy_+_49822721.23-P1P2,8000
Cyp2d26_-_82794044.23-P1P2,8000
Polr3k_-_181864500.23-P1P2,7994
Chl1_-_103511391.23-P1P2,7993
Cdk6_+_3343927.23-P1P2,7992
Fars2_-_36117858.23-P1P2,7991
Tfam_-_71238026.23-P1P2,7986
Ppp3cb_-_20546518.23-P1P2,7958
Gchfr_-_119167890.23-P1P2,7951
Endou_+_97731273.23-P2,7951
Npc2_+_84772907.23-P1P2,7945
Timp3_+_86300632.23-P1P2,7943
Slc17a6_-_51622130.23-P1P2,7936
Ogdh_-_6291653.23-P1P2,7933
Serpina1d_-_103773106.23-P1P2,7932
Kif1c_+_70700518.23-P1P2,7924
Ndufa8_-_36049269.23-P1P2,7924
Atp2a3_+_72961226.23-P1P2,7921
Pkd2_-_104459565.23-P1P2,7919
Pde4d_+_109953884.23-P1P2,7918
Erbb2_+_98412583.23-P1P2,7908
Cyp2d9_-_82452861.23-P1P2,7894
Pdha1_+_160138306.23-P1P2,7890
Tmem119_+_113800342.23-P1P2,7883
Abca1_-_53159479.23-P1P2,7880
Jund_+_70698955.23-P1P2,7875
Mrpl3_-_105053340.23-P1P2,7871
Jund_-_70699145.23-P1P2,7865
Il12a_-_68691653.23-P1P2,7864
Coasy_-_101082685.23-P1P2,7860
Sncb_+_54766497.23-P1P2,7856
Ache_-_137288315.23-P1P2,7847
Mme_-_63296268.23-P2,7845
Grn_-_102430520.23-P1P2,7844
non-targeting_02744,7839
Psma3_+_70974664.23-P1P2,7836
Lrpprc_-_84790514.23-P1P2,7836
Atp2b3_+_73503134.23-P1P2,7832
Neurog2_+_127633185.23-P1P2,7822
Atxn3_+_101958110.23-P1P2,7819
Atp1a3_-_25005818.23-P1P2,7818
Ngfr_+_95587665.23-P1P2,7804
Actb_+_142905682.23-P2,7801
Hspa14_+_3512724.23-P1P2,7797
Snurf_+_60005096.23-P1P2,7791
Snrpn_+_60005096.23-P1P2,7791
Gstm2_+_107986418.23-P1P2,7784
Kcnh8_+_52602947.23-P1P2,7784
Gstm7_+_107931550.23-P1P2,7771
Tomm20_-_126945861.23-P1P2,7764
Gstm7_+_107931658.23-P1P2,7756
Chp1_-_119547847.23-P1P2,7755
Pi4ka_+_17405853.23-P1P2,7749
Mme_+_63300210.23-P1,7748
Ndufb11_+_20617014.23-P1P2,7748
Pde4d_+_109954106.23-P1P2,7735
Litaf_+_10993025.23-P1P2,7734
Tnfrsf1a_+_125350032.23-P1P2,7732
Clp1_-_84727294.23-P1P2,7727
Glo1_-_30612395.23-P1P2,7726
Sgsh_-_119355488.23-P1P2,7725
Cd40lg_+_57212113.23-P1P2,7725
Smn1_-_100124938.23-P1P2,7715
Coasy_-_101082688.23-P1P2,7714
Prx_-_27499365.23-P1,7711
Ifnb1_-_88522832.23-P1P2,7708
Actb_-_142906726.23-P1,7705
Pld3_+_27553043.23-P2,7696
Foxo3_+_42276634.23-P1P2,7693
Canx_-_50325614.23-P1P2,7693
Trp73_+_154096892.23-P2,7692
Pde9a_+_31386328.23-P1P2,7692
Prickle2_+_92706198.23-P1,7689
Hpx_-_105600060.23-P1P2,7686
Arih1_-_59486638.23-P1P2,7683
Psmc6_-_45329850.23-P1P2,7680
Kitl_+_100015846.23-P1P2,7679
Exoc2_+_30974025.23-P1P2,7675
Naglu_-_101070127.23-P1P2,7674
Psmb4_-_94886878.23-P1P2,7671
Smn1_-_100124883.23-P1P2,7656
Polr3k_-_181864446.23-P1P2,7646
Kcne3_-_100176783.23-P2,7645
Tuba4a_-_75219176.23-P1P2,7641
Comt_-_18426364.23-P1P2,7636
Tubb6_+_67390714.23-P1P2,7627
Slc26a3_+_31438256.23-P1P2,7624
Trpc3_-_36690147.23-P1P2,7623
Letm1_-_33782663.23-P1P2,7614
Pkd2_-_104459595.23-P1P2,7612
Neurog2_-_127633180.23-P1P2,7602
Wnt11_-_98839044.23-P2,7601
Ccs_-_4839271.23-P1P2,7599
Vps35_+_85299443.23-P1P2,7592
Wnt6_-_74772131.23-P1P2,7587
Ndufs3_-_90904716.23-P1P2,7585
Blmh_-_76945805.23-P1P2,7584
Map2k1_+_64253349.23-P1P2,7578
Trpm7_+_126876176.23-P1P2,7575
Pus1_+_110780544.23-P1P2,7568
Stat3_-_100939371.23-P1P2,7567
Nek1_+_60993277.23-P1P2,7567
Anxa11_-_25842250.23-P1P2,7564
Metrn_-_25796915.23-P1P2,7560
Tecpr2_+_110889305.23-P1P2,7559
Actr1a_-_46395669.23-P1P2,7555
Slc12a6_-_112265620.23-P1P2,7555
Htra1_+_130936544.23-P1P2,7548
Gpx1_-_108339106.23-P1P2,7548
Tpo_-_30132595.23-P1P2,7541
Cox6a1_-_115348592.23-P1P2,7541
Pin1rt1_-_104716122.23-ENSMUST00000099659.2,7540
Scn8a_+_100870981.23-P1P2,7539
non-targeting_02861,7535
Atrx_-_105929306.23-P1P2,7533
Kpna3_-_61439660.23-P1P2,7529
Vim_+_13574332.23-P1P2,7525
Tubb2a_-_34077993.23-P1P2,7524
Emc1_-_139352655.23-P1P2,7522
Tubb5_-_35838232.23-P1P2,7519
Tuba1a_-_98953489.23-P1P2,7518
Stip1_+_7039948.23-P1P2,7517
Gabarapl2_+_111940716.23-P1P2,7515
Slc1a2_-_102706670.23-ENSMUST00000111212.1,7497
Csnk2a2_-_95488745.23-P1P2,7497
Plcb4_+_135805601.23-ENSMUST00000035646.4,7487
Sbf2_+_110614850.23-P1P2,7484
Kif1a_+_93101804.23-P1P2,7482
Psmd11_+_80429038.23-P1P2,7478
Apc_+_34221165.23-P1,7476
Atp2b3_+_73503183.23-P1P2,7472
Clk1_-_58423796.23-P1P2,7469
Msc_+_14755938.23-P1P2,7462
Trpm2_+_77969774.23-P1P2,7462
Agpat3_+_78352351.23-P1P2,7461
Snurf_+_60005102.23-P1P2,7455
Snrpn_+_60005102.23-P1P2,7455
Epo_-_137533204.23-P1P2,7449
Slc19a3_+_83038353.23-P1P2,7449
Padi2_-_140924478.23-P2,7444
Il4_+_53618374.23-P1P2,7443
Hspa9_-_34954323.23-P1P2,7439
Icam1_+_21016055.23-P1P2,7438
Serpina1e_-_103958707.23-P2,7436
Synj1_+_91010998.23-P1P2,7435
Opa1_-_29579409.23-P1P2,7433
Thy1_-_44043440.23-P1P2,7432
Psma6_-_55398925.23-P1P2,7431
Sucla2_+_73552850.23-P1P2,7431
Pik3cb_-_99140144.23-P1P2,7417
Grm2_-_106656014.23-P1P2,7417
Il1a_+_129309937.23-P1P2,7416
Cd200r3_+_44943727.23-P1P2,7415
Adora3_-_105870927.23-P1P2,7414
Gstm3_-_107969111.23-P1P2,7414
Tfcp2_+_100551946.23-P1P2,7406
Atxn7_-_14012882.23-P1P2,7406
non-targeting_00136,7406
Nfkbia_-_55492360.23-P1P2,7401
Bace1_+_45838866.23-P1P2,7396
Mmp3_+_7446065.23-P1P2,7391
Epm2a_+_11343449.23-P1P2,7388
Aifm1_+_48513389.23-P1P2,7387
