Guide	Gene	Syn1-ND-ctrl-1	Syn1-ND-ctrl-2	Syn1-ND-ctrl-3	Sny1-ND-2M-1-F	Sny1-ND-2M-2-M	Sny1-ND-2M-3-M	Sny1-ND-2M-4-M	Sny1-ND-2M-5-M	Sny1-ND-2M-6-M	Syn1-ND-4M-1-F	Syn1-ND-4M-2-M	Syn1-ND-4M-3-M	Syn1-ND-4M-4-M	Syn1-ND-4M-5-M	Syn1-ND-4M-6-M
Wfs1_-_36989155.23-P1P2	Wfs1	1116	1353	1285	717	479	722	769	645	472	700	623	626	677	644	765
Uchl4_+_64235186.23-ENSMUST00000039011.3	Uchl4	775	988	1162	574	387	545	641	537	470	389	439	617	495	494	678
Mapk1_-_16983451.23-P1P2	Mapk1	1826	2232	2456	1330	856	1085	1229	1180	952	973	996	1170	1164	1155	1329
Fis1_+_136962109.23-P1	Fis1_P1	1221	1466	1198	758	541	796	656	830	714	648	692	803	891	746	812
Hpx_-_105600011.23-P1P2	Hpx	2511	3179	2774	1882	1226	1681	1680	1671	1502	1425	1560	1488	1609	1506	1673
Clcn7_+_25133464.23-P1P2	Clcn7	1375	1797	1754	896	746	983	986	915	699	715	745	936	634	751	878
Coasy_-_101082685.23-P1P2	Coasy	2438	2853	2488	1536	1040	1435	1482	1484	1253	1153	1189	1448	1336	1360	1628
Nqo2_-_33964759.23-P1P2	Nqo2	1100	1366	944	744	543	629	903	651	698	619	622	788	864	661	879
Tubb5_-_35838222.23-P1P2	Tubb5	1514	1914	1502	984	662	888	993	852	705	788	863	839	887	949	1050
Cox6b2_-_4753046.23-P1P2	Cox6b2	955	1298	973	746	494	601	663	599	616	535	506	629	672	524	662
Mrc1_+_14229446.23-P1P2	Mrc1	843	1072	1179	642	470	544	711	585	472	489	490	568	607	549	730
Pum1_-_130663434.23-P1P2	Pum1	1613	1890	1747	1110	770	1015	1025	1007	795	912	889	925	877	849	1119
Mif_+_75860286.23-P1P2	Mif	1600	2147	1869	1060	799	1280	1042	1094	861	976	1075	1062	1100	990	1194
Cybb_-_9469271.23-P1P2	Cybb	1179	1647	1384	895	677	898	881	817	700	620	749	763	812	769	923
Cd8a_+_71373502.23-P1P2	Cd8a	1006	1332	1364	777	405	775	742	725	524	675	649	719	778	704	811
Nfkb1_-_135691424.23-P1P2	Nfkb1	1245	1562	1490	811	621	803	865	767	667	663	730	785	766	753	942
Tfcp2_+_100551946.23-P1P2	Tfcp2	2294	2861	2317	1542	1124	1331	1519	1311	1226	1232	1265	1410	1418	1373	1555
Fzd8_+_9213023.23-ENSMUST00000041080.5	Fzd8	1153	1315	1686	744	470	710	816	769	693	642	709	790	829	726	865
Maneal_-_124862206.23-P1P2	Maneal	1548	1958	1518	1013	573	1027	1019	828	754	862	853	959	856	883	1044
Atp5j_+_84834829.23-P1P2	Atp5j	1449	1880	1791	1048	754	963	1053	973	786	867	950	859	1008	899	1105
Mtor_-_148448637.23-P1P2	Mtor	1442	1879	1606	1051	652	928	961	863	679	790	903	1005	975	976	1131
P4hb_-_120572798.23-P1P2	P4hb	1535	2095	2375	1108	701	1017	1107	1012	960	960	976	1002	1123	1054	1176
Wnt2b_-_104961704.23-P1P2	Wnt2b	2069	2426	2584	1466	904	1287	1231	1180	1086	1082	1244	1202	1282	1167	1464
Mapk10_+_103211231.23-P1P2	Mapk10	2335	2703	2452	1478	1072	1421	1512	1292	1154	1393	1401	1451	1367	1410	1529
Dnah2_-_69549111.23-ENSMUST00000108659.1	Dnah2	928	1052	962	595	433	659	652	682	553	472	503	581	523	599	671
Sst_-_23890781.23-P1P2	Sst	1864	2387	2562	1479	781	992	1261	1232	859	1095	1151	1288	1196	1112	1377
Uqcr10_+_4704103.23-P1P2	Uqcr10	1440	1662	1720	970	546	1018	966	901	793	790	813	940	880	792	974
Cdca5_-_6085128.23-P1P2	Cdca5	1547	1885	1675	1005	562	946	982	867	734	898	925	868	875	853	1071
Actb_-_142906726.23-P1	Actb_P1	2318	2857	2168	1613	1090	1493	1574	1549	1264	1291	1307	1498	1624	1491	1673
Cox7b2_-_71548214.23-P1P2	Cox7b2	961	1219	993	653	423	621	624	493	553	561	540	643	534	586	637
Slc18a1_+_69089139.23-P1	Slc18a1_P1	1154	1297	941	702	337	498	567	513	320	455	422	571	475	507	600
Slc5a6_+_31048170.23-P1P2	Slc5a6	1289	1573	1071	903	498	738	821	815	700	739	675	738	713	717	888
Hprt_+_52988208.23-P1P2	Hprt	1453	1820	1769	1040	511	990	1045	889	701	868	879	793	795	778	1042
Tmem63c_-_87026498.23-P1P2	Tmem63c	1574	1867	1827	873	660	902	896	937	695	931	928	1015	1162	937	1105
Esr2_+_76177127.23-P1P2	Esr2	479	592	563	290	250	312	318	245	244	261	277	287	272	238	310
