Guide	Gene	Vgat-ND-Ctrl-1	Vgat-ND-Ctrl-2	Vgat-ND-Ctrl-3	Vgat-ND-Ctrl-4	Vgat-ND-2M-1-M	Vgat-ND-2M-2-F	Vgat-ND-2M-3-F	Vgat-ND-2M-4-F	Vgat-ND-2M-5-F	Vgat-ND-2M-6-F	Vgat-ND-2M-7-F	Vgat-ND-2M-8-F	Vgat-ND-4M-1-F	Vgat-ND-4M-2-F	Vgat-ND-4M-3-F	Vgat-ND-4M-4-F	Vgat-ND-4M-5-M
Wfs1_-_36989155.23-P1P2	Wfs1	950	1528	1191	1896	1411	568	524	679	1047	389	443	674	1138	1551	1330	942	715
Uchl4_+_64235186.23-ENSMUST00000039011.3	Uchl4	1129	1419	1050	1357	1355	276	439	418	515	342	651	810	1219	1162	838	542	594
Mapk1_-_16983451.23-P1P2	Mapk1	1767	2431	2304	2884	2386	570	916	1071	1838	618	1407	1236	2154	2365	1975	1533	1489
Fis1_+_136962109.23-P1	Fis1_P1	1463	2047	1393	2306	1867	357	895	862	870	293	718	1257	1446	1516	1254	808	737
Hpx_-_105600011.23-P1P2	Hpx	2722	4024	2707	4229	2845	967	1404	1707	2371	772	1794	1982	2934	3532	2424	1983	1666
Clcn7_+_25133464.23-P1P2	Clcn7	1975	1516	1586	2088	1635	643	754	940	1062	420	874	1091	1893	1313	1069	1026	831
Coasy_-_101082685.23-P1P2	Coasy	2890	3444	2623	3533	2764	757	1359	959	2078	795	1571	2139	1937	2279	1707	1501	1312
Nqo2_-_33964759.23-P1P2	Nqo2	1286	2035	1713	1847	1381	446	878	701	798	400	1023	1131	1899	1195	1183	910	890
Tubb5_-_35838222.23-P1P2	Tubb5	1872	1638	2189	2284	1823	665	686	1290	1103	460	848	1078	1649	1985	1576	1197	1049
Cox6b2_-_4753046.23-P1P2	Cox6b2	1299	1424	1166	1257	964	283	455	460	999	350	531	599	1149	1244	873	560	870
Mrc1_+_14229446.23-P1P2	Mrc1	909	1069	1008	1452	1100	246	585	416	1021	253	604	808	1219	1240	647	804	479
Pum1_-_130663434.23-P1P2	Pum1	1848	2939	1775	2058	2818	574	901	874	1701	536	990	1415	1671	2066	1223	1230	1074
Mif_+_75860286.23-P1P2	Mif	1770	2157	2094	2379	2285	590	651	803	1191	531	1314	1315	1952	1981	1772	1177	1175
Cybb_-_9469271.23-P1P2	Cybb	1522	2134	1792	2033	1583	526	656	833	1162	459	686	957	1460	1419	1242	840	839
Cd8a_+_71373502.23-P1P2	Cd8a	1491	1603	1606	1262	1364	439	579	753	968	356	597	811	1779	1532	1319	881	750
Nfkb1_-_135691424.23-P1P2	Nfkb1	1593	1519	1357	1827	1593	455	656	695	1129	460	863	1000	1620	1602	1142	912	939
Tfcp2_+_100551946.23-P1P2	Tfcp2	2602	3725	2344	3616	3319	800	1163	1359	1534	905	1248	1981	2441	2668	1899	1848	1793
Fzd8_+_9213023.23-ENSMUST00000041080.5	Fzd8	1316	1544	1247	1844	1936	354	647	1135	1035	420	814	967	1075	1931	1189	900	936
Maneal_-_124862206.23-P1P2	Maneal	1657	2074	2151	2449	1955	628	880	833	1358	630	1127	1383	1479	2057	1356	1144	911
Atp5j_+_84834829.23-P1P2	Atp5j	1526	2175	1402	2632	2432	698	623	629	1294	673	1036	1108	1650	2174	1334	1087	1127
Mtor_-_148448637.23-P1P2	Mtor	1777	2476	2070	2585	2079	530	788	851	1217	530	974	1335	1826	2103	1305	1076	987
P4hb_-_120572798.23-P1P2	P4hb	1905	2566	1625	2772	2284	690	931	831	1643	499	1355	1353	1742	2384	1441	1311	1179
Wnt2b_-_104961704.23-P1P2	Wnt2b	2241	2899	2293	2790	2752	685	883	955	1769	860	1374	1638	2039	3080	1727	1387	1430
