Guide	Gene	Vglut2-ND-ctrl-1	Vglut2-ND-ctrl-2	Vglut2-ND-ctrl-3	Vglut2-ND-ctrl-4	Vglut2-ND-ctrl-5	Vglut2-ND-2M-1-F	Vglut2-ND-2M-2-M	Vglut2-ND-2M-3-F	Vglut2-ND-2M-4-M	Vglut2-ND-2M-5-F	Vglut2-ND-2M-6-M	Vglut2-ND-2M-7-M	Vglut2-ND-2M-8-F	Vglut2-ND-2M-9-M	Vglut2-ND-4M-1-F	Vglut2-ND-4M-2-F	Vglut2-ND-4M-3-F	Vglut2-ND-4M-4-M	Vglut2-ND-4M-5-M	Vglut2-ND-4M-6-M	Vglut2-ND-4M-7-M	Vglut2-ND-18M-1-F	Vglut2-ND-18M-2-M	Vglut2-ND-18M-3-M
Wfs1_-_36989155.23-P1P2	Wfs1	299	641	798	1058	1039	991	966	763	814	1639	958	1377	1098	41	822	861	683	547	571	691	649	647	971	803
Uchl4_+_64235186.23-ENSMUST00000039011.3	Uchl4	300	733	613	1063	949	941	760	806	701	740	869	1433	941	901	660	654	482	628	466	522	704	680	822	804
Mapk1_-_16983451.23-P1P2	Mapk1	461	1488	1267	2119	1763	1827	1611	1715	1322	2685	1479	1839	2894	1548	1342	1430	1215	1041	1057	1289	1208	1420	1783	1725
Fis1_+_136962109.23-P1	Fis1_P1	374	1008	1134	1186	1101	1135	892	932	827	1828	830	872	992	1287	888	906	885	721	638	790	736	710	905	1043
Hpx_-_105600011.23-P1P2	Hpx	655	1950	1551	2383	2034	2343	2250	2067	1703	3131	2226	2854	2592	1969	1766	2166	1840	1664	1535	1604	1700	1658	2130	2225
Clcn7_+_25133464.23-P1P2	Clcn7	391	1160	832	1456	1622	1321	926	1045	861	1226	872	1373	1144	918	820	667	590	581	453	625	597	280	673	523
Coasy_-_101082685.23-P1P2	Coasy	747	1835	1832	2681	2124	2043	1702	1838	1433	3018	1764	2468	2043	877	1194	1283	1109	1127	945	1088	1089	775	1021	863
Nqo2_-_33964759.23-P1P2	Nqo2	416	852	754	1286	1246	1137	930	1028	786	648	1302	1285	1316	1285	795	902	773	645	639	696	814	791	1112	1044
Tubb5_-_35838222.23-P1P2	Tubb5	457	1240	911	1686	1765	1464	1276	1149	1048	2066	1037	1638	1676	1085	1068	1244	955	871	938	1073	1089	976	1322	1230
Cox6b2_-_4753046.23-P1P2	Cox6b2	281	771	728	1114	840	833	558	917	695	844	959	826	989	311	806	791	713	611	574	631	639	732	895	808
Mrc1_+_14229446.23-P1P2	Mrc1	271	743	709	960	937	927	671	778	746	1131	908	903	736	511	668	648	512	584	551	663	696	559	644	827
Pum1_-_130663434.23-P1P2	Pum1	472	1351	872	1582	1427	1573	1252	1354	1056	1421	1186	1649	1598	287	1052	1227	1082	921	891	1079	994	1089	1321	1437
Mif_+_75860286.23-P1P2	Mif	470	1363	1116	1905	1397	1756	1496	1400	1135	2657	1362	1184	1653	593	1080	1280	1040	1152	1019	1015	1088	987	1442	1304
Cybb_-_9469271.23-P1P2	Cybb	221	1031	788	1438	1194	1281	1043	1204	938	1356	850	1449	1490	408	864	952	820	882	761	903	967	867	957	1108
Cd8a_+_71373502.23-P1P2	Cd8a	310	836	708	1361	1065	1071	912	976	815	1475	1080	977	735	1056	727	905	791	696	619	697	757	767	1040	990
Nfkb1_-_135691424.23-P1P2	Nfkb1	508	1071	1027	1184	1222	1018	1105	1187	788	2148	1267	1429	1893	1422	816	938	741	815	753	772	897	879	1140	887
Tfcp2_+_100551946.23-P1P2	Tfcp2	496	1822	1460	2280	2049	2228	1902	1772	1427	2499	2277	2063	1875	1352	1570	1851	1364	1369	1308	1438	1634	1424	1917	1794
Fzd8_+_9213023.23-ENSMUST00000041080.5	Fzd8	374	901	621	1121	1202	1163	1168	1029	682	1374	679	1067	1133	660	822	1046	734	771	595	760	832	897	1043	1048
Maneal_-_124862206.23-P1P2	Maneal	501	1117	1065	1860	1595	1591	1217	1392	842	1874	1292	1667	1351	1178	1035	1211	878	1078	853	971	939	1086	1315	1383
Atp5j_+_84834829.23-P1P2	Atp5j	393	1160	992	1517	1656	1350	1035	1290	1114	1999	1701	59	1793	1514	1040	1122	980	852	942	981	1016	998	1099	1291
Mtor_-_148448637.23-P1P2	Mtor	402	1192	992	1635	1742	1606	1295	1394	1022	1715	1804	1627	1753	1426	1165	1299	995	1006	875	1095	1034	944	1358	1370
P4hb_-_120572798.23-P1P2	P4hb	451	1070	1120	1744	1434	1573	1351	1400	1515	1656	1578	1828	2192	387	1131	1367	1120	1113	985	1129	1099	1176	1353	1537
Wnt2b_-_104961704.23-P1P2	Wnt2b	638	1746	1239	1948	2020	1875	1536	1508	1262	2450	1032	145	2080	707	1248	1538	1231	1013	1059	1247	1138	1465	1400	1805
Mapk10_+_103211231.23-P1P2	Mapk10	725	1833	1355	2226	2107	2195	1857	1743	1672	2220	1958	2594	2119	1411	1644	1768	1503	1348	1258	1459	1414	1240	1694	1895
Dnah2_-_69549111.23-ENSMUST00000108659.1	Dnah2	263	751	814	1028	898	980	986	1015	643	1335	750	1047	1550	983	745	875	706	557	601	634	699	711	884	927
