Essentials,
AAMP (14),AAMP
AARS1 (16),AARS1
AATF (26574),AATF
ABCB7 (22),ABCB7
ABCE1 (6059),ABCE1
ABCF1 (23),ABCF1
ABT1 (29777),ABT1
ACD (65057),ACD
ACIN1 (22985),ACIN1
ACO2 (50),ACO2
ACTB (60),ACTB
ACTG1 (71),ACTG1
ACTL6A (86),ACTL6A
ACTR10 (55860),ACTR10
ACTR1A (10121),ACTR1A
ACTR2 (10097),ACTR2
ACTR3 (10096),ACTR3
ACTR6 (64431),ACTR6
ACTR8 (93973),ACTR8
ADAR (103),ADAR
ADSL (158),ADSL
ADSS2 (159),ADSS2
AFG3L2 (10939),AFG3L2
AGAP5 (729092),AGAP5
AGAP6 (414189),AGAP6
AHCTF1 (25909),AHCTF1
AHCY (191),AHCY
AK6 (102157402),AK6
AKIRIN2 (55122),AKIRIN2
ALDOA (226),ALDOA
ALDOC (230),ALDOC
ALG1 (56052),ALG1
ALG10B (144245),ALG10B
ALG11 (440138),ALG11
ALG13 (79868),ALG13
ALG14 (199857),ALG14
ALG2 (85365),ALG2
ALYREF (10189),ALYREF
AMY2A (279),AMY2A
ANAPC1 (64682),ANAPC1
ANAPC10 (10393),ANAPC10
ANAPC11 (51529),ANAPC11
ANAPC13 (25847),ANAPC13
ANAPC15 (25906),ANAPC15
ANAPC2 (29882),ANAPC2
ANAPC4 (29945),ANAPC4
ANAPC5 (51433),ANAPC5
ANKLE2 (23141),ANKLE2
ANKRD18B (441459),ANKRD18B
ANKRD35 (148741),ANKRD35
ANLN (54443),ANLN
AP2M1 (1173),AP2M1
AQP7 (364),AQP7
AQR (9716),AQR
ARCN1 (372),ARCN1
ARF4 (378),ARF4
ARFRP1 (10139),ARFRP1
ARGLU1 (55082),ARGLU1
ARHGEF5 (7984),ARHGEF5
ARIH1 (25820),ARIH1
ARL2 (402),ARL2
ARMC7 (79637),ARMC7
ARPC2 (10109),ARPC2
ARPC3 (10094),ARPC3
ARPC4 (10093),ARPC4
ARPP19 (10776),ARPP19
ASCC3 (10973),ASCC3
ASDURF (110599588),ASDURF
ATAD5 (79915),ATAD5
ATL2 (64225),ATL2
ATP1A1 (476),ATP1A1
ATP23 (91419),ATP23
ATP2A2 (488),ATP2A2
ATP5F1A (498),ATP5F1A
ATP5F1B (506),ATP5F1B
ATP5F1C (509),ATP5F1C
ATP5F1D (513),ATP5F1D
ATP5F1E (514),ATP5F1E
ATP5MC2 (517),ATP5MC2
ATP5MF (9551),ATP5MF
ATP5PB (515),ATP5PB
ATP5PD (10476),ATP5PD
ATP5PO (539),ATP5PO
ATP6AP1 (537),ATP6AP1
ATP6AP2 (10159),ATP6AP2
ATP6V0B (533),ATP6V0B
ATP6V0C (527),ATP6V0C
ATP6V0D1 (9114),ATP6V0D1
ATP6V1A (523),ATP6V1A
ATP6V1B2 (526),ATP6V1B2
ATP6V1C1 (528),ATP6V1C1
ATP6V1D (51382),ATP6V1D
ATP6V1E1 (529),ATP6V1E1
ATP6V1F (9296),ATP6V1F
ATP6V1G1 (9550),ATP6V1G1
ATP6V1H (51606),ATP6V1H
ATR (545),ATR
ATRIP (84126),ATRIP
ATXN10 (25814),ATXN10
AURKA (6790),AURKA
AURKAIP1 (54998),AURKAIP1
AURKB (9212),AURKB
BANF1 (8815),BANF1
BANP (54971),BANP
BARD1 (580),BARD1
BCAS2 (10286),BCAS2
BCCIP (56647),BCCIP
BCL2L1 (598),BCL2L1
BCLAF1 (9774),BCLAF1
BDP1 (55814),BDP1
BIRC5 (332),BIRC5
BMF (90427),BMF
BMS1 (9790),BMS1
BNIP1 (662),BNIP1
BOP1 (23246),BOP1
BORA (79866),BORA
BPTF (2186),BPTF
BRAP (8315),BRAP
BRCA2 (675),BRCA2
BRD4 (23476),BRD4
BRD8 (10902),BRD8
BRF1 (2972),BRF1
BRF2 (55290),BRF2
BRIX1 (55299),BRIX1
BTAF1 (9044),BTAF1
BTF3 (689),BTF3
BTF3L4 (91408),BTF3L4
BUB1 (699),BUB1
BUB1B (701),BUB1B
BUB3 (9184),BUB3
BUD13 (84811),BUD13
BUD23 (114049),BUD23
BUD31 (8896),BUD31
BYSL (705),BYSL
C17orf49 (124944),C17orf49
C17orf58 (284018),C17orf58
C18orf21 (83608),C18orf21
C19orf53 (28974),C19orf53
C1orf109 (54955),C1orf109
C1orf131 (128061),C1orf131
C2orf81 (388963),C2orf81
C2orf92 (728537),C2orf92
C3orf49 (132200),C3orf49
CA5A (763),CA5A
CACNB3 (784),CACNB3
CACTIN (58509),CACTIN
CAMLG (819),CAMLG
CAPZB (832),CAPZB
CARS1 (833),CARS1
CCAR1 (55749),CCAR1
CCDC107 (203260),CCDC107
CCDC115 (84317),CCDC115
CCDC12 (151903),CCDC12
CCDC137 (339230),CCDC137
CCDC163 (126661),CCDC163
CCDC174 (51244),CCDC174
CCDC196 (440184),CCDC196
CCDC43 (124808),CCDC43
CCDC57 (284001),CCDC57
CCDC59 (29080),CCDC59
CCDC86 (79080),CCDC86
CCNA2 (890),CCNA2
CCNB1 (891),CCNB1
CCNB1IP1 (57820),CCNB1IP1
CCNH (902),CCNH
CCNK (8812),CCNK
CCNL1 (57018),CCNL1
CCNQ (92002),CCNQ
CCT2 (10576),CCT2
CCT3 (7203),CCT3
CCT4 (10575),CCT4
CCT5 (22948),CCT5
CCT6A (908),CCT6A
CCT7 (10574),CCT7
CCT8 (10694),CCT8
CD24 (100133941),CD24
CD300H (100130520),CD300H
CDAN1 (146059),CDAN1
CDC123 (8872),CDC123
CDC14C (168448),CDC14C
CDC16 (8881),CDC16
CDC20 (991),CDC20
CDC23 (8697),CDC23
CDC26 (246184),CDC26
CDC27 (996),CDC27
CDC37 (11140),CDC37
CDC40 (51362),CDC40
CDC42 (998),CDC42
CDC45 (8318),CDC45
CDC5L (988),CDC5L
CDC6 (990),CDC6
CDC7 (8317),CDC7
CDC73 (79577),CDC73
CDCA5 (113130),CDCA5
CDCA8 (55143),CDCA8
CDK1 (983),CDK1
CDK12 (51755),CDK12
CDK2 (1017),CDK2
CDK4 (1019),CDK4
CDK5RAP3 (80279),CDK5RAP3
CDK7 (1022),CDK7
CDK9 (1025),CDK9
CDT1 (81620),CDT1
CEBPZ (10153),CEBPZ
CEBPZOS (100505876),CEBPZOS
CECR2 (27443),CECR2
CELSR2 (1952),CELSR2
CENATAC (338657),CENATAC
CENPA (1058),CENPA
CENPC (1060),CENPC
CENPE (1062),CENPE
CENPH (64946),CENPH
CENPI (2491),CENPI
CENPK (64105),CENPK
CENPL (91687),CENPL
CENPM (79019),CENPM
CENPN (55839),CENPN
CENPT (80152),CENPT
CENPW (387103),CENPW
CEP131 (22994),CEP131
CEP192 (55125),CEP192
CEP97 (79598),CEP97
CEPT1 (10390),CEPT1
CFAP20 (29105),CFAP20
CFAP298 (56683),CFAP298
CFAP54 (144535),CFAP54
CFAP97D2 (101929355),CFAP97D2
CFL1 (1072),CFL1
CHAF1A (10036),CHAF1A
CHAF1B (8208),CHAF1B
CHCHD1 (118487),CHCHD1
CHCHD2 (51142),CHCHD2
CHCHD3 (54927),CHCHD3
CHCHD4 (131474),CHCHD4
CHD4 (1108),CHD4
CHEK1 (1111),CHEK1
CHERP (10523),CHERP
