gene name,log2 fold change of elderly vs adult,ratio of cells express this gene in elderly,ratio of cells express this gene in adult,Wilcox's p-value,q-value,cell type
MPP7,0.528573664,0.301,0.28,5.1E-05,1.0E+00,L5/6
NPSR1-AS1,0.590531284,0.254,0.231,8.4E-05,1.0E+00,L5/6
MIR3681HG,0.511430037,0.251,0.23,1.3E-04,1.0E+00,L5/6
TTN,0.535426169,0.252,0.231,1.4E-04,1.0E+00,L5/6
AC019211.1,0.517273747,0.338,0.327,3.6E-04,1.0E+00,L5/6
TNNI3K,0.60712376,0.253,0.236,3.8E-05,1.0E+00,inb-sst
CCDC50,0.612065097,0.259,0.245,5.5E-05,1.0E+00,inb-sst
SLC4A7,0.552390102,0.354,0.353,7.7E-05,1.0E+00,inb-sst
COMMD10,0.540642626,0.375,0.38,1.0E-04,1.0E+00,inb-sst
KCTD6,-0.508644216,0.236,0.283,5.8E-05,1.0E+00,inb-sv2c
UNC50,-0.573087404,0.22,0.261,1.8E-04,1.0E+00,inb-sv2c
DLST,-0.521453204,0.225,0.266,2.5E-04,1.0E+00,inb-sv2c
AC009041.2,-0.53584122,0.252,0.29,8.4E-04,1.0E+00,inb-sv2c
PHF21B,-0.557445307,0.228,0.264,9.1E-04,1.0E+00,inb-sv2c
ATP1B3,-0.586075089,0.369,0.39,3.6E-03,1.0E+00,endo
ELL2,-0.55116433,0.34,0.356,4.0E-03,1.0E+00,endo
YARS2,-0.511851305,0.254,0.301,3.0E-05,8.9E-01,inb-sv2c
CCT8,-0.520917327,0.321,0.364,3.0E-05,8.8E-01,inb-sv2c
ACTR6,-0.578732931,0.224,0.271,2.7E-05,8.0E-01,inb-sv2c
SCYL1,-0.514220575,0.212,0.263,1.6E-05,4.8E-01,inb-sv2c
AC104806.2,0.521434779,0.312,0.299,1.6E-05,4.7E-01,inb-sst
RELN,-0.587949633,0.298,0.353,1.6E-05,4.6E-01,inb-sv2c
CEP44,0.51721942,0.305,0.282,1.5E-05,4.5E-01,L5/6-CC
HCN2,-0.519457527,0.219,0.268,1.5E-05,4.5E-01,inb-sv2c
PDE7B,-0.693362735,0.457,0.482,1.4E-05,4.3E-01,endo
CCBE1,0.650312284,0.297,0.251,1.1E-05,3.2E-01,inb-sv2c
LZTS3,-0.526396112,0.226,0.276,1.1E-05,3.2E-01,inb-sv2c
DNAJC8,-0.535204235,0.225,0.28,1.0E-05,3.0E-01,inb-sv2c
CBWD6,0.606789528,0.252,0.228,8.4E-06,2.5E-01,L5/6
PEX6,-0.518894644,0.242,0.294,7.2E-06,2.2E-01,inb-sv2c
CWC15,-0.663933152,0.202,0.251,7.2E-06,2.1E-01,inb-sv2c
SWT1,0.529243716,0.28,0.228,5.9E-06,1.7E-01,inb-sv2c
LSM12,-0.557116611,0.213,0.264,5.8E-06,1.7E-01,inb-sv2c
RORB,0.52477924,0.357,0.337,5.2E-06,1.5E-01,L5/6-CC
FBXL16,-0.594209237,0.262,0.314,5.1E-06,1.5E-01,inb-sv2c
PCBP3,-0.960503895,0.243,0.268,4.4E-06,1.3E-01,endo
LYRM9,-0.506569529,0.213,0.269,4.0E-06,1.2E-01,inb-sv2c
PARP1,-0.65597164,0.257,0.31,3.5E-06,1.0E-01,inb-sv2c
ZCRB1,-0.574301837,0.201,0.256,3.5E-06,1.0E-01,inb-sv2c
SLC25A13,0.524485537,0.288,0.257,3.1E-06,9.3E-02,L5/6
MEAF6,-0.60987125,0.271,0.324,2.9E-06,8.5E-02,inb-sv2c
MIB2,-0.527262634,0.213,0.266,2.8E-06,8.4E-02,inb-sv2c
TMEM179,-0.57677569,0.253,0.305,2.6E-06,7.7E-02,inb-sv2c
