query,_id,_score,symbol,notfound
Eef2,13629,14.504479,Eef2,
Rft1,52710,17.876802,Rft1,
Rpap3,71919,14.787148,Rpap3,
Psmc3,19182,14.718618,Psmc3,
Fam50a,108160,15.079266,Fam50a,
Gbf1,96979,17.193527,Gbf1,
Jtb,23922,14.884529,Jtb,
Rbm42,68035,14.989801,Rbm42,
Nubp1,26425,14.25914,Nubp1,
Rbm22,66810,14.792573,Rbm22,
Rpap2,231571,14.727205,Rpap2,
Chmp2a,68953,14.853782,Chmp2a,
Alg11,207958,14.222402,Alg11,
Rpap1,68925,14.774578,Rpap1,
Sbds,66711,14.279737,Sbds,
Polr3b,70428,14.708389,Polr3b,
Mcm3ap,54387,14.89429,Mcm3ap,
Copz1,56447,14.970961,Copz1,
Polr2e,66420,15.199899,Polr2e,
Glmn,170823,15.297668,Glmn,
Iars,105148,14.049517,Iars1,
Atp6v1h,108664,14.772793,Atp6v1h,
Psmg3,66506,14.792573,Psmg3,
Eif2b5,224045,14.751554,Eif2b5,
Gpx4,625249,15.297668,Gpx4,
Ddrgk1,77006,14.508842,Ddrgk1,
Hars,15115,14.722015,Hars1,
Pcf11,74737,14.298185,Pcf11,
Cars,27267,14.101514,Cars1,
Copa,12847,14.461643,Copa,
Nup214,227720,14.373403,Nup214,
Trappc3,27096,14.756831,Trappc3,
Sars,20226,14.233104,Sars1,
Gtf3c5,70239,14.704997,Gtf3c5,
Pmvk,68603,14.710089,Pmvk,
Chmp6,208092,15.21988,Chmp6,
Atp6v1c1,66335,15.207356,Atp6v1c1,
Polr3k,67005,14.38527,Polr3k,
Wars,22375,14.040277,Wars1,
0610010K14Rik,104457,21.084198,0610010K14Rik,
Zfp259,22687,19.614708,Zpr1,
Cdipt,52858,15.019665,Cdipt,
Psmb6,19175,15.006782,Psmb6,
Alg1,208211,14.3169,Alg1,
Gtf3c3,98488,14.772793,Gtf3c3,
Ruvbl1,56505,14.749799,Ruvbl1,
Ccdc55,237859,18.145218,Nsrp1,
Ubl5,66177,14.981395,Ubl5,
Lonp1,74142,14.746298,Lonp1,
Srp9,27058,14.273645,Srp9,
Afg3l2,69597,14.2957115,Afg3l2,
Telo2,71718,14.767451,Telo2,
Atf5,107503,15.812145,Atf5,
Ostm1,14628,14.751554,Ostm1,
Vps25,28084,14.254341,Vps25,
Gtf2b,229906,14.732386,Gtf2b,
Npc2,67963,15.032674,Npc2,
Brf1,12192,16.520018,Brf1,
Vps28,66914,14.284631,Vps28,
Gtf3c6,67371,14.77101,Gtf3c6,
Bud13,215051,14.718618,Bud13,
Atp6v0e2,76252,15.832145,Atp6v0e2,
Trappc1,245828,15.043619,Trappc1,
Ptpn23,104831,15.346683,Ptpn23,
Srp68,217337,14.217735,Srp68,
Ccdc94,72886,14.409055,Yju2,
Wdr25,212198,14.788954,Wdr25,
Polr3a,218832,14.270004,Polr3a,
Chmp4b,75608,15.250441,Chmp4b,
Caml,12328,21.712498,Caml,
Qars,97541,14.077628,Qars1,
Snf8,27681,14.734116,Snf8,
Tprkb,69786,14.723763,Tprkb,
Sart1,20227,14.991911,Sart1,
Slc38a6,625098,14.75331,Slc38a6,
Rnasek,52898,15.276467,Rnasek,
Rbm17,76938,14.763902,Rbm17,
Copb1,70349,14.746298,Copb1,
Lage3,66192,15.788542,Lage3,
Tbcb,66411,14.431101,Tbcb,
Ppp2r1a,51792,15.694571,Ppp2r1a,
Gpn1,74254,14.77101,Gpn1,
Psmc4,23996,14.940153,Psmc4,
Mvk,17855,13.779989,Mvk,
Rngtt,24018,14.7428055,Rngtt,
Pdxk,216134,14.557819,Pdxk,
Sf3a1,67465,14.244796,Sf3a1,
Eefsec,65967,14.482883,Eefsec,
Snip1,76793,14.776367,Snip1,
Psmc1,19179,15.182663,Psmc1,
Zfp335,329559,20.907745,Zfp335,
Secisbp2,75420,15.111282,Secisbp2,
Msto1,229524,14.810819,Msto1,
Ttc27,74196,14.772793,Ttc27,
Ubap1,67123,14.788954,Ubap1,
Cutc,66388,14.178739,Cutc,
Nupl2,231042,14.1963825,Nup42,
Ash2l,23808,14.756831,Ash2l,
